,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
1321,Karnov,1796,KAR,SE0012323715,Aktie,Mid Cap,Sverige,Industri,Affärskonsulter
1322,Train Alliance,1819,TRAIN B,SE0012904779,Aktie,First North,Sverige,Finans & Fastighet,Fastighetsbolag
1323,Gaming Innovation,1831,GIGSEK,US36467X2062,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Betting & Casino
1324,Triboron,1832,TRIBO B,SE0010600429,Aktie,First North,Sverige,Industri,Energi & Återvinning
1325,Aallon Group,1833,AALLON,FI4000369608,Aktie,First North,Finland,Finans & Fastighet,Kredit & Finansiering
1326,Adevinta,1838,ADE,NO0010844038,Aktie,Oslo Bors,Norge,Finans & Fastighet,Investmentbolag
1327,FluoGuide,1840,FLUO,DK0061123312,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1328,Vertiseit,1843,VERT B,SE0012481133,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1329,OssDsign,1845,OSSD,SE0012570448,Aktie,First North,Sverige,Hälsovård,Läkemedel
1330,Danish Aerospace,1846,DAC,DK0061140407,Aktie,First North,Danmark,Hälsovård,Hälsovård & Hjälpmedel
1331,Konsolidator,1847,KONSOL,DK0061113511,Aktie,First North,Danmark,Informationsteknik,Affärs- & IT-System
1332,Klaveness Combination,1849,KCC,NO0010833262,Aktie,Oslo Bors,Norge,Industri,Sjöfart & Rederi
1333,Ultimovacs,1850,ULTI,NO0010851603,Aktie,Oslo Bors,Norge,Hälsovård,Läkemedel
1334,John Mattson,1852,JOMA,SE0012481364,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1335,K2A,1853,K2A B,SE0010520254,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1336,Mentice,1854,MNTC,SE0012673291,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1337,Mofast,1855,MOFAST,SE0012596120,Aktie,Spotlight,Sverige,Finans & Fastighet,Fastighetsbolag
1338,Tingsvalvet A,1856,TINGS A,SE0018534471,Aktie,Spotlight,Sverige,Finans & Fastighet,Fastighetsbolag
